Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0,-0.011189778645833334,0.015597873263888888,-0.028143988715277776,-0.13525390625,0.04931640625,0.98291015625
1,-0.012546115451388888,0.019327799479166668,-0.0213623046875,-0.12353515625,0.0458984375,0.98388671875
2,-0.014241536458333334,0.023057725694444444,-0.004408094618055556,-0.13330078125,0.04443359375,1.005859375
3,-0.008816189236111112,0.014919704861111112,0.005086263020833333,-0.13720703125,0.04833984375,0.9892578125
4,-0.013563368055555556,0.028483072916666668,0.025770399305555556,-0.1318359375,0.04736328125,0.98876953125
5,-0.014919704861111112,-0.014919704861111112,0.037299262152777776,-0.1416015625,0.05224609375,0.98486328125
6,-0.018310546875,-0.022718641493055556,0.052897135416666664,-0.1357421875,0.04150390625,0.97314453125
7,-0.035942925347222224,-0.0244140625,0.04136827256944445,-0.11376953125,0.04833984375,1.00048828125
8,-0.018310546875,-0.009494357638888888,0.027126736111111112,-0.11474609375,0.0439453125,0.98681640625
9,-0.026448567708333332,-0.016615125868055556,0.04848904079861111,-0.08984375,0.03564453125,0.98388671875
10,-0.032891167534722224,-0.056966145833333336,-0.003390842013888889,-0.140625,0.04150390625,0.9931640625
11,-0.016615125868055556,-0.020684136284722224,0.014241536458333334,-0.1474609375,0.03173828125,1.001953125
12,-0.0091552734375,-0.037638346354166664,0.016954210069444444,-0.12060546875,0.02490234375,0.98193359375
13,-0.035603841145833336,-0.07459852430555555,0.0335693359375,-0.1171875,0.02783203125,0.95849609375
14,-0.03831651475694445,0.008816189236111112,0.005086263020833333,-0.08447265625,0.03662109375,0.9970703125
15,-0.0152587890625,-0.0091552734375,-0.0030517578125,-0.11083984375,0.01904296875,1.00537109375
16,-0.0152587890625,0.011189778645833334,-0.0003390842013888889,-0.08056640625,0.00830078125,1.013671875
17,0.006442599826388889,-0.023735894097222224,-0.0244140625,-0.111328125,0.025390625,0.98876953125
18,-0.0016954210069444445,0.013563368055555556,-0.018988715277777776,-0.14404296875,0.025390625,0.966796875
19,-0.028822157118055556,0.0020345052083333335,0.0152587890625,-0.1240234375,0.01953125,0.95849609375
20,-0.04408094618055555,0.0010172526041666667,0.018649631076388888,-0.10302734375,0.02587890625,0.9638671875
21,-0.04713270399305555,0.008477105034722222,0.022379557291666668,-0.08251953125,0.001953125,0.94970703125
22,-0.0918918185763889,-0.038994683159722224,0.015936957465277776,-0.11474609375,-0.001953125,0.90625
23,-0.14750162760416666,-0.014580620659722222,0.020345052083333332,-0.12353515625,0.00830078125,0.98095703125
24,-0.1312255859375,-0.023396809895833332,0.015936957465277776,-0.14990234375,-0.0224609375,1.01904296875
25,-0.0942654079861111,0.008477105034722222,0.04102918836805555,-0.060546875,-0.0791015625,1.04541015625
26,-0.009494357638888888,-0.05662706163194445,0.060017903645833336,-0.07861328125,-0.056640625,1.1279296875
27,0.030856662326388888,-0.0518798828125,0.11969672309027778,-0.05224609375,-0.076171875,0.998046875
28,-0.0701904296875,-0.09528266059027778,0.10748969184027778,-0.033203125,-0.04736328125,0.84521484375
29,-0.1888699001736111,0.018649631076388888,0.06273057725694445,-0.00830078125,-0.06298828125,1.0654296875
30,-0.0857883029513889,0.06137424045138889,0.05018446180555555,-0.0576171875,-0.13671875,1.3837890625
31,0.11698404947916667,-0.08341471354166667,0.08646647135416667,-0.08935546875,-0.125,1.3154296875
32,0.1556396484375,-0.0091552734375,0.05628797743055555,-0.01416015625,-0.10107421875,1.22314453125
33,0.2285427517361111,-0.026448567708333332,-0.010511610243055556,-0.0966796875,-0.05078125,1.22998046875
34,0.2556694878472222,0.022718641493055556,0.06239149305555555,-0.03173828125,0.0126953125,1.33837890625
35,0.3824869791666667,-0.1003689236111111,-0.040351019965277776,-0.02099609375,0.04541015625,1.33349609375
36,0.5662706163194444,0.05527072482638889,-0.014241536458333334,-0.16455078125,0.01513671875,1.328125
37,0.5818684895833334,0.3560384114583333,0.08612738715277778,-0.26611328125,0.0595703125,1.1552734375
38,0.5466037326388888,-0.06883409288194445,0.08002387152777778,-0.2822265625,0.1650390625,1.0634765625
39,0.7269965277777778,0.07866753472222222,0.2078586154513889,-0.29296875,0.15576171875,0.9716796875
40,0.8470323350694444,0.1495361328125,0.2895779079861111,-0.31103515625,0.1552734375,0.7001953125
41,0.8358425564236112,-0.042724609375,0.4133436414930556,-0.0048828125,0.236328125,0.3974609375
42,0.6178114149305556,-0.011528862847222222,0.3424750434027778,0.12890625,0.20849609375,0.12646484375
43,0.2953423394097222,0.0888400607638889,0.18107096354166666,0.1904296875,0.23583984375,-0.04052734375
44,0.04136827256944445,0.020005967881944444,0.09969075520833333,0.01025390625,0.27978515625,-0.04931640625
